product_id,name,brand,category,price,rating,rating_count,skin_type,concerns,affiliate_cj,affiliate_rakuten,affiliate_amazon,image_url
0d5e82c2-b4c8-4976-af39-b5ebc6a70eb0,HydraLab Moisturizer 55,VelvetTouch,moisturizer,1914,,4305,dry,acne,,https://rakuten.com/97de350e-d234-4bec-9ae2-9dd706556aa7,,https://via.placeholder.com/150
0fbea346-7f10-478c-818e-bc99b3a9cd62,LuxeGlow Serum 62,PureBeauty,serum,423,3.8,2043,all,acne,https://cj.com/31573eb2-dece-47db-84ed-c4a7593003cc,,,
d21ec6ee-1955-45ad-9801-44caf2b16e63,VelvetTouch Serum 40,PureBeauty,serum,2955,4.8,4781,sensitive,acne,https://cj.com/aea6cb2d-6764-4ed2-be2e-2d02df564def,,,https://via.placeholder.com/150
3e4d076d-98d1-4778-872f-69911b4d1e4f,RadiantCare Foundation 74,GlowSkin,foundation,1956,2.5,3055,oily,hydration,,https://rakuten.com/dde62846-73bc-41d7-80a8-aef4144fb860,,https://via.placeholder.com/150
3cf2573f-2b62-4ccf-8716-70e6966c6aab,PureBeauty Foundation 79,BeautyNest,foundation,2933,3.0,1979,dry,dark spots,,https://rakuten.com/2e183719-8998-4893-8b00-a2b6cab6a159,,https://via.placeholder.com/150
535b2e58-2b0e-4a6e-bd4e-4513dc4e5794,HydraLab Cleanser 10,DermaFresh,cleanser,551,3.1,4934,combination,oil control,,https://rakuten.com/52753495-246a-4297-89e8-8ff40372a8f7,,https://via.placeholder.com/150
72dd6793-92d5-4449-9d21-4cb0d65b07d8,DermaFresh Lipstick 13,DermaFresh,lipstick,2294,4.0,935,oily,sun protection,https://cj.com/e3968bd9-b95b-46ad-91f7-7383d1a4d11e,,,https://via.placeholder.com/150
92a8dc10-f1a4-4680-929f-657c52318598,SkinAura Sunscreen 88,VelvetTouch,sunscreen,1648,4.7,191,dry,dark spots,,,https://amazon.com/500cc559-c36a-494e-ad96-f619cabea011,https://via.placeholder.com/150
3faa917d-5bef-4cb2-9548-4c909c94f400,BeautyNest Moisturizer 25,SkinAura,moisturizer,581,5.0,4746,sensitive,oil control,https://cj.com/a780c964-8417-40ca-b8e1-ca8765bf13e6,,,https://via.placeholder.com/150
b084ccd9-1956-4bf9-a38f-efc9926f7c38,RadiantCare Serum 31,BeautyNest,serum,2460,4.7,128,sensitive,hydration,https://cj.com/57233057-b8b4-4993-b15d-6e16c7abc01b,,,https://via.placeholder.com/150
16c0aa29-3d00-4794-9a76-046548bd0683,HydraLab Lipstick 50,HydraLab,lipstick,1428,4.7,3062,all,hydration,,,,https://via.placeholder.com/150
f40b492f-5d2f-45d3-b7ed-6e2ce538cc38,RadiantCare Sunscreen 13,PureBeauty,sunscreen,2474,5.0,4709,sensitive,acne,https://cj.com/02e977a3-d071-464d-9512-5503ef924340,,,https://via.placeholder.com/150
475d02f0-ae0a-4c40-8b4a-ec747a012ce8,ClearDerm Lipstick 18,PureBeauty,lipstick,1257,2.9,331,all,hydration,https://cj.com/cbc99b10-2328-4ffb-bb01-1a333fd0fa96,,,https://via.placeholder.com/150
7e5b090a-4a70-492d-98a5-31ad34562b7b,LuxeGlow Sunscreen 39,BeautyNest,sunscreen,1708,4.1,3121,all,anti-aging,,https://rakuten.com/377cd1f7-2678-4460-ab5b-7d7bc61e2c22,,https://via.placeholder.com/150
fa6aee35-59eb-42c6-987c-01a66295ab83,GlowSkin Moisturizer 41,BeautyNest,moisturizer,1551,4.3,2101,sensitive,dark spots,https://cj.com/d1c309b3-389e-4051-a282-17cbb4c7f3ed,,,https://via.placeholder.com/150
14217ed5-f0b2-44f2-979b-b2b09a12d022,HydraLab Lipstick 43,HydraLab,lipstick,871,3.4,1239,combination,anti-aging,https://cj.com/a0e57334-8ad9-42b4-b557-f0355390b900,,,https://via.placeholder.com/150
efc6ed0a-a436-4368-8e2a-aa555fb2127e,RadiantCare Cleanser 75,BeautyNest,cleanser,731,3.2,3587,dry,acne,,https://rakuten.com/1edb2816-dbff-4b67-90d6-f6a314b248d8,,https://via.placeholder.com/150
a0e4614f-a005-47d8-8699-dd35467a0a88,RadiantCare Foundation 97,ClearDerm,foundation,2307,4.0,1675,combination,acne,,https://rakuten.com/aac33c7a-d60e-46f5-a993-738746c20a87,,
fe4b2c0c-bff3-449d-9d65-64c18caf9431,DermaFresh Serum 90,DermaFresh,serum,2413,,1199,oily,oil control,https://cj.com/006a54d4-eb12-4020-b79a-3ab0eb8a66a9,,,https://via.placeholder.com/150
8c5d59fd-d5ee-4ee3-b91a-fcb9c27e137e,RadiantCare Serum 17,RadiantCare,serum,2656,2.9,48,oily,anti-aging,https://cj.com/20e5d95c-90e9-4fc1-8bd4-6e0cf6f02f78,,,https://via.placeholder.com/150
b2b3d533-acce-4238-bc57-cf70d3b7b84d,DermaFresh Cleanser 40,PureBeauty,cleanser,1662,5.0,2096,oily,anti-aging,https://cj.com/226ae4dd-190c-4e38-bef8-7ce25a1bc462,,,https://via.placeholder.com/150
3f2c997a-d3ee-40cf-a4f5-eb9abfc26a1d,DermaFresh Moisturizer 24,RadiantCare,moisturizer,2277,3.8,2267,combination,acne,,,https://amazon.com/15e3d01d-12d8-4171-8e65-89f5db4f1f05,https://via.placeholder.com/150
57ebfc6b-2aa9-4c6b-8cb9-e8ca479ba45d,DermaFresh Foundation 36,HydraLab,foundation,1933,3.2,3441,combination,hydration,https://cj.com/4f5e4386-d5b9-46a0-859e-2c58cb1142d4,,,https://via.placeholder.com/150
4eac1f55-e50e-4a0b-b4a6-f5fe4097b469,VelvetTouch Sunscreen 41,GlowSkin,sunscreen,1341,4.5,3639,sensitive,oil control,,,https://amazon.com/0797677c-2c36-403b-9833-d64c3c6c5f50,https://via.placeholder.com/150
09f89aac-671f-437e-850a-6962e9e5021a,RadiantCare Sunscreen 72,ClearDerm,sunscreen,1537,3.0,3699,combination,dark spots,,,,https://via.placeholder.com/150
9653f66a-50ab-49ff-8f15-6242856a8e09,RadiantCare Foundation 51,BeautyNest,foundation,759,2.7,4680,oily,anti-aging,https://cj.com/1026595f-e6f6-47f9-a3d1-a8198c4e85bb,,,https://via.placeholder.com/150
4298f2f1-e114-4ff9-87f8-7c840d6c3503,GlowSkin Foundation 31,LuxeGlow,foundation,1028,3.6,3267,all,sun protection,https://cj.com/e8f481cd-dd22-4766-b256-6b0e696cb7ae,,,https://via.placeholder.com/150
790b9657-bfee-4f90-b2dc-934db74a3096,ClearDerm Lipstick 15,GlowSkin,lipstick,909,2.8,3866,all,oil control,,https://rakuten.com/0c359169-667f-4da5-8ca5-0bfe3fb075f2,,https://via.placeholder.com/150
132c582a-8c9a-4e0d-9292-6854c80af52b,HydraLab Sunscreen 23,DermaFresh,sunscreen,613,4.2,4657,dry,anti-aging,,https://rakuten.com/3365a6e1-7773-42fa-9bfb-6db832ce21e0,,https://via.placeholder.com/150
a3ebcc78-3032-4542-9b1e-72908adce4a2,VelvetTouch Moisturizer 87,BeautyNest,moisturizer,872,3.5,430,combination,hydration,https://cj.com/e8792ccd-1011-45bb-9a0f-1a20acc666b3,,,https://via.placeholder.com/150
b6b6ce06-e184-465f-8abb-dad7f1db6c4b,DermaFresh Sunscreen 46,ClearDerm,sunscreen,2756,2.7,934,oily,acne,https://cj.com/82642082-2895-46f0-b4e4-259557ef16df,,,https://via.placeholder.com/150
ec75c6e0-7a3f-4b95-aedd-46db6540c5be,GlowSkin Serum 45,BeautyNest,serum,1948,3.5,804,combination,anti-aging,https://cj.com/66440484-58e3-49b8-96d5-9bf049ca81b6,,,https://via.placeholder.com/150
3c8da530-2b79-4d18-9ded-c7d633c15571,LuxeGlow Serum 7,DermaFresh,serum,,2.9,2955,oily,anti-aging,,https://rakuten.com/60cae9c1-3c44-4e6a-a9bf-a6a35536006b,,https://via.placeholder.com/150
03e61cb2-5df4-4715-8ae4-608007bcc357,ClearDerm Moisturizer 19,LuxeGlow,moisturizer,1925,4.9,1551,oily,sun protection,https://cj.com/1e255876-4190-4e40-af85-cd895cd8bb30,,,https://via.placeholder.com/150
c683b4cd-9e54-448d-95a2-37034ba0310d,HydraLab Lipstick 68,RadiantCare,lipstick,1570,5.0,1827,sensitive,oil control,https://cj.com/a61caa49-e7c4-4934-aa5c-ea0b5db8826d,,,https://via.placeholder.com/150
0d6bfd0e-9a39-475f-bd6e-d755ed0e7b2d,BeautyNest Lipstick 86,DermaFresh,lipstick,2735,4.9,3676,dry,dark spots,,,https://amazon.com/257eb5ac-5e96-474a-aff6-c7af9fde8a6d,https://via.placeholder.com/150
efc9a49c-31eb-4a86-a51f-aa11c7d419da,PureBeauty Serum 33,VelvetTouch,serum,2055,3.3,1248,sensitive,anti-aging,,https://rakuten.com/183f9a82-dce4-49db-b2b0-e79ebad86ced,,https://via.placeholder.com/150
96aade63-acae-4974-b850-52978bd187fc,DermaFresh Foundation 60,ClearDerm,foundation,2929,4.4,3621,combination,oil control,https://cj.com/6bec724c-b3a9-45d2-ad48-f763b686eb04,,,https://via.placeholder.com/150
e22d2f53-b1d9-4114-81d0-9bfacf518fe0,HydraLab Lipstick 80,ClearDerm,lipstick,1004,2.7,1729,all,dark spots,https://cj.com/2884efa4-044e-4869-b103-956d8fa9389d,,,https://via.placeholder.com/150
5796e408-3a40-45c0-ae52-0d6ebb8eeb48,SkinAura Foundation 39,BeautyNest,foundation,2656,3.1,3920,dry,dark spots,https://cj.com/fb456750-20cf-4951-a49d-8980cf94ee4c,,,https://via.placeholder.com/150
8597d7ab-f9a8-4ad1-bd0d-64da6a3fa587,BeautyNest Serum 38,ClearDerm,serum,851,2.9,3836,all,anti-aging,https://cj.com/7439346d-a2ca-43c5-a286-4bfc087bc06d,,,https://via.placeholder.com/150
3b62e0bd-dc90-4e2e-b2a1-fc8a59ab766d,LuxeGlow Sunscreen 6,DermaFresh,sunscreen,1164,4.2,825,all,dark spots,https://cj.com/fb2bf282-5e09-49d1-9694-e8c011a9ceae,,,https://via.placeholder.com/150
77034ece-82d6-405d-a0c2-0a9666cb8ec2,GlowSkin Foundation 5,SkinAura,foundation,1763,4.4,4921,combination,oil control,https://cj.com/26b4d4e2-cc34-44d4-8fa4-bb0cf0285d98,,,https://via.placeholder.com/150
e9bcccd9-b2b5-4148-ad13-c861e0eabab7,SkinAura Serum 35,HydraLab,serum,2160,4.7,1231,combination,oil control,,https://rakuten.com/e38c4098-bb48-4c71-aaf7-7668abf64783,,https://via.placeholder.com/150
a70c92e4-6e1c-4b4b-8845-e274a33504d6,RadiantCare Foundation 23,VelvetTouch,foundation,2924,3.8,1485,dry,oil control,https://cj.com/6db95c32-42ee-4b1a-9e60-7e0b9facf393,,,https://via.placeholder.com/150
771a1f8e-6532-4a0d-9fcb-e052ee429892,SkinAura Sunscreen 24,ClearDerm,sunscreen,2802,4.1,318,sensitive,anti-aging,,https://rakuten.com/d9e40f05-91bf-478c-8cbe-5ccf7c83208a,,https://via.placeholder.com/150
bfefe0e6-c677-47d9-8907-0d5ba4df15c1,ClearDerm Lipstick 54,GlowSkin,lipstick,268,3.0,4450,sensitive,acne,,https://rakuten.com/af240002-1142-4295-b974-c71636f81ccf,,https://via.placeholder.com/150
6314b1cf-3be7-42c0-94be-280ee3725142,BeautyNest Foundation 33,SkinAura,foundation,1684,4.2,2753,dry,dark spots,,https://rakuten.com/65f55d32-1cd6-4c57-8627-3aef56bb15dd,,
366dcccb-ace6-4e49-b05d-c250e6c87cfd,ClearDerm Lipstick 56,ClearDerm,lipstick,2103,3.4,2096,all,dark spots,,,,https://via.placeholder.com/150
e7c2ebd6-1b38-42a9-8448-09feec59f8be,GlowSkin Moisturizer 61,PureBeauty,moisturizer,1611,3.3,2760,oily,acne,https://cj.com/df15d421-19cc-4920-a9f1-28c7dd10f3ca,,,https://via.placeholder.com/150
15d72271-7e9a-4ff0-ae5c-32f93d6accfc,BeautyNest Foundation 63,ClearDerm,foundation,539,2.9,3116,sensitive,dark spots,https://cj.com/503634f9-2f16-44e6-a7e9-c0984f1497d6,,,https://via.placeholder.com/150
e5b000d4-345a-4d6c-b57e-a8bdecf03088,VelvetTouch Cleanser 71,DermaFresh,cleanser,1429,3.5,4329,all,acne,,,,https://via.placeholder.com/150
a6bde4e1-cfb3-4be9-a6c9-ffaa71da273c,PureBeauty Cleanser 1,VelvetTouch,cleanser,578,4.6,3488,sensitive,sun protection,,https://rakuten.com/d475682d-4992-4d49-a3ba-5be4e21826a8,,https://via.placeholder.com/150
8544be5a-d643-48f6-8efc-78b6f8044641,GlowSkin Serum 25,VelvetTouch,serum,2639,3.7,1069,all,hydration,,https://rakuten.com/ccde1337-a599-4399-9243-7c2c9d58e0f9,,https://via.placeholder.com/150
58ecccd8-e72e-4400-8d42-4a9fc9266f6c,HydraLab Serum 18,RadiantCare,serum,,3.2,1466,dry,acne,https://cj.com/bab621e8-8e76-451a-8bb3-92c8e899f477,,,https://via.placeholder.com/150
febeacc3-929d-4762-9f67-d6a9faeb72eb,HydraLab Lipstick 25,PureBeauty,lipstick,1892,2.8,3366,all,anti-aging,,https://rakuten.com/e5511075-a17d-488e-b498-b2f31132f7b0,,https://via.placeholder.com/150
a7478ea4-ac12-4f91-bc76-f9a760162e37,PureBeauty Moisturizer 47,HydraLab,moisturizer,,2.9,1928,all,sun protection,,https://rakuten.com/a33e5f87-2145-45d1-8264-6003264954e4,,https://via.placeholder.com/150
3914ee80-199f-40fb-95ff-2a990b856ede,DermaFresh Lipstick 9,LuxeGlow,lipstick,1982,3.5,2752,sensitive,sun protection,,,https://amazon.com/597964ea-64eb-405c-a140-606f3199842e,https://via.placeholder.com/150
